,M,L,P,R,T,rho,epsilon,kappa,del_ad,del_rad,del_actual,convective,radiative
0,1e-10,8.541405217414383e-10,1.1911460830758608e+17,1.4983736240744928e-11,12506840.288023047,70.96611523303717,8.541405217414383,0.017698150075274248,0.39938044644117027,0.002902565964058378,0.002902565964058378,0,1
1,1.992985971943888e+30,1.658411180266797e+31,1.1665037538225115e+17,1885681148.3085718,12419965.30300826,69.98434977979063,8.175380577168092,40.38096188742966,0.3993847402237117,6.497099727042626,0.3993847402237117,1,0
2,3.985971943887776e+30,3.2657121320318463e+31,1.151854771482505e+17,2384090381.9898233,12367928.222583344,69.39638863043233,7.962044539084116,31.785834550493995,0.3993872843686717,5.05635397446665,0.3993872843686717,1,0
3,5.978957915831664e+30,4.834896212569457e+31,1.1400258480796176e+17,2730876528.7597613,12325554.147278117,68.91997353037358,7.791795467431418,28.040915688426402,0.3993893608384488,4.417667459936657,0.3993893608384488,1,0
4,7.971943887775552e+30,6.372321622934712e+31,1.1292464687033262e+17,3011079455.8595014,12286847.646359153,68.48347793185533,7.6385999309321,25.85699066661737,0.3993912332800498,4.039136862256754,0.3993912332800498,1,0
5,9.964929859719439e+30,7.880727624989258e+31,1.1193964379178323e+17,3248037973.164662,12251316.60557358,68.08309975968763,7.5000588121017335,24.42080098622494,0.3993929440297607,3.7849062873283246,0.3993929440297607,1,0
6,1.1957915831663329e+31,9.362558338381517e+31,1.1103002617538987e+17,3455174357.59945,12218325.621896796,67.71228800367668,7.373264342151668,23.40092278738074,0.3993945315555701,3.6001117195667187,0.3993945315555701,1,0
7,1.3950901803607216e+31,1.0819974144174153e+32,1.1017342329643978e+17,3641381628.3988676,12187130.441877194,67.36195316488869,7.254924833550463,22.608395415639688,0.39939602698345755,3.45394148026281,0.39939602698345755,1,0
8,1.5943887775551103e+31,1.2254686092004958e+32,1.09353062272731e+17,3811595805.9206886,12157191.101467093,67.02510616515092,7.142658724261269,21.974232637964842,0.3993974490601863,3.334801155790321,0.3993974490601863,1,0
9,1.793687374749499e+31,1.3667741073511178e+32,1.0856840415314586e+17,3968737980.30477,12128462.225010911,66.70187061345456,7.036187551005017,21.45278808311429,0.39939880646117637,3.2349272369675144,0.39939880646117637,1,0
10,1.9929859719438878e+31,1.506007208107066e+32,1.0781669288129515e+17,4114762254.9742007,12100834.936065208,66.39134133749944,6.934982719550656,21.010802527778033,0.3994001080002715,3.148766064618439,0.3994001080002715,1,0
11,2.1922845691382765e+31,1.6432570656077418e+32,1.0709495912161254e+17,4251378511.343803,12074198.766950633,66.09246330641352,6.8385207964410695,20.622573163009434,0.39940136127856807,3.0721149912649977,0.39940136127856807,1,0
12,2.3915831663326657e+31,1.7786086215064363e+32,1.0640007643103712e+17,4380057631.5358925,12048443.332154978,65.80405733549527,6.746288942038328,20.271231221101996,0.3994025726583235,3.002226837691076,0.3994025726583235,1,0
13,2.5908817635270545e+31,1.9121426049703267e+32,1.0572876125901342e+17,4502031498.380277,12023458.328333164,65.52482065238341,6.657783525693911,19.95263352491289,0.39940374726087435,2.9383175668848036,0.39940374726087435,1,0
14,2.790180360721443e+31,2.043935532680479e+32,1.0507757294749147e+17,4618292995.414261,11999133.534307245,65.25332737703592,6.572508921168341,19.661582662395265,0.3994048889642267,2.8794806509398665,0.3994048889642267,1,0
15,2.989478957915832e+31,2.1740597088318478e+32,1.0444291373092672e+17,4729596006.882639,11975358.811066415,64.98802887407736,6.489976482237513,19.39365240856927,0.39940600039947666,2.824949586069497,0.39940600039947666,1,0
16,3.1887775551102207e+31,2.302583224461835e+32,1.0382102887764709e+17,4836455424.710028,11952024.105520792,64.72725400367632,6.409703714968009,19.144983979942744,0.39940708294511756,2.774060278510115,0.39940708294511756,1,0
17,3.3880761523046094e+31,2.429554190714951e+32,1.0321106327663614e+17,4939299240.522529,11929099.8540109,64.47068394308873,6.331543959568808,18.912053047497004,0.3994081382843443,2.7262014772950454,0.3994081382843443,1,0
18,3.587374749498998e+31,2.5550021152147734e+32,1.0261429057759781e+17,5038507240.276246,11906613.006791856,64.21902143266085,6.255584214473612,18.691484747628916,0.3994091690578838,2.6807943500364004,0.3994091690578838,1,0
19,3.786673346693387e+31,2.6789628520357344e+32,1.0203014716901547e+17,5134337540.517086,11884541.765669536,63.97208621375901,6.1817125382778855,18.47990898193083,0.39941017707810134,2.637288934420813,0.39941017707810134,1,0
20,3.9859719438877756e+31,2.8014713931763276e+32,1.0145807632741528e+17,5227034027.006812,11862864.97847686,63.72969469102968,6.109821840886071,18.27431683056855,0.3994111640165245,2.595204985919787,0.3994111640165245,1,0
21,4.185270541082164e+31,2.9225618685591094e+32,1.0089752821736608e+17,5316826354.723037,11841562.13907378,63.49166011477819,6.03980966344382,18.075304102214798,0.3994121314054692,2.5545864916998635,0.3994121314054692,1,0
22,4.384569138276553e+31,3.042267546030697e+32,1.0034795989147946e+17,5403929947.859224,11820613.387347288,63.257792756676025,5.971577972374631,17.882625904079532,0.39941308063961156,2.515362347311387,0.39941308063961156,1,0
23,4.583867735470942e+31,3.1606208313617683e+32,9.980883529040976e+16,5488545999.824695,11799999.509211417,63.0279000787635,5.9050329665467745,17.695697076525846,0.3994140129775071,2.4774181444205863,0.3994140129775071,1,0
24,4.7831663326653315e+31,3.277653268247065e+32,9.927962524285406e+16,5570861473.244618,11779701.936607236,62.80178689574837,5.840084896664455,17.514025430586514,0.39941492954305957,2.440656788861938,0.39941492954305957,1,0
25,4.98246492985972e+31,3.393395538305387e+32,9.875980746555218e+16,5651049099.960017,11759702.747502849,62.57925553063236,5.776647896039376,17.337174243410207,0.3994158313269384,2.404992319897059,0.3994158313269384,1,0
26,5.181763527054109e+31,3.5078774610796e+32,9.824886656328664e+16,5729267381.027767,11739984.665893398,62.360105963727825,5.7146398219551555,17.164728892820577,0.39941671918794014,2.3703446128654293,0.39941671918794014,1,0
27,5.381062124248498e+31,3.621127994036627e+32,9.774629402888275e+16,5805660586.720595,11720531.06180107,62.14413597515588,5.653982106888414,16.996267735136225,0.39941759385429876,2.336634911194052,0.39941759385429876,1,0
28,5.580360721442886e+31,3.7331752325674546e+32,9.725158824320853e+16,5880358756.527082,11701325.951275082,61.931141280943926,5.594599618896964,16.831337101972313,0.3994184559249374,2.3037821160510035,0.3994184559249374,1,0
